InstanceID,FromNode,ToNode,Distance,Demand,Capacity
10_1,0,1,98.0,0.0,1000.0
10_1,0,2,86.0,0.0,1000.0
10_1,0,3,74.0,0.0,1000.0
10_1,0,4,94.0,0.0,1000.0
10_1,0,5,72.0,0.0,1000.0
10_1,0,6,92.0,0.0,1000.0
10_1,0,7,54.0,0.0,1000.0
10_1,0,8,77.0,0.0,1000.0
10_1,0,9,87.0,0.0,1000.0
10_1,0,10,73.0,0.0,1000.0
10_1,1,0,68.0,166.0,1000.0
10_1,1,2,93.0,166.0,1000.0
10_1,1,3,64.0,166.0,1000.0
10_1,1,4,78.0,166.0,1000.0
10_1,1,5,93.0,166.0,1000.0
10_1,1,6,51.0,166.0,1000.0
10_1,1,7,62.0,166.0,1000.0
10_1,1,8,80.0,166.0,1000.0
10_1,1,9,92.0,166.0,1000.0
10_1,1,10,95.0,166.0,1000.0
10_1,2,0,95.0,111.0,1000.0
10_1,2,1,85.0,111.0,1000.0
10_1,2,3,61.0,111.0,1000.0
10_1,2,4,76.0,111.0,1000.0
10_1,2,5,86.0,111.0,1000.0
10_1,2,6,57.0,111.0,1000.0
10_1,2,7,57.0,111.0,1000.0
10_1,2,8,90.0,111.0,1000.0
10_1,2,9,80.0,111.0,1000.0
10_1,2,10,52.0,111.0,1000.0
10_1,3,0,52.0,114.0,1000.0
10_1,3,1,60.0,114.0,1000.0
10_1,3,2,67.0,114.0,1000.0
10_1,3,4,90.0,114.0,1000.0
10_1,3,5,94.0,114.0,1000.0
10_1,3,6,72.0,114.0,1000.0
10_1,3,7,52.0,114.0,1000.0
10_1,3,8,62.0,114.0,1000.0
10_1,3,9,97.0,114.0,1000.0
10_1,3,10,58.0,114.0,1000.0
10_1,4,0,75.0,81.0,1000.0
10_1,4,1,58.0,81.0,1000.0
10_1,4,2,75.0,81.0,1000.0
10_1,4,3,66.0,81.0,1000.0
10_1,4,5,99.0,81.0,1000.0
10_1,4,6,64.0,81.0,1000.0
10_1,4,7,85.0,81.0,1000.0
10_1,4,8,56.0,81.0,1000.0
10_1,4,9,59.0,81.0,1000.0
10_1,4,10,66.0,81.0,1000.0
10_1,5,0,55.0,132.0,1000.0
10_1,5,1,75.0,132.0,1000.0
10_1,5,2,75.0,132.0,1000.0
10_1,5,3,75.0,132.0,1000.0
10_1,5,4,76.0,132.0,1000.0
10_1,5,6,67.0,132.0,1000.0
